fixed acidity,volatile acidity,citric acid,quality
7.4,0.7,0.0,5
7.8,0.88,0.0,5
7.8,0.76,0.04,5
11.2,0.28,0.56,6
7.4,0.7,0.0,5
7.4,0.66,0.0,5
7.9,0.6,0.06,5
7.3,0.65,0.0,7
7.8,0.58,0.02,7
7.5,0.5,0.36,5
6.7,0.58,0.08,5
7.5,0.5,0.36,5
5.6,0.615,0.0,5
7.8,0.61,0.29,5
8.9,0.62,0.18,5
8.9,0.62,0.19,5
8.5,0.28,0.56,7
8.1,0.56,0.28,5
7.4,0.59,0.08,4
7.9,0.32,0.51,6
8.9,0.22,0.48,6
7.6,0.39,0.31,5
7.9,0.43,0.21,5
8.5,0.49,0.11,5
6.9,0.4,0.14,6
6.3,0.39,0.16,5
7.6,0.41,0.24,5
7.9,0.43,0.21,5
7.1,0.71,0.0,5
7.8,0.645,0.0,6
6.7,0.675,0.07,5
6.9,0.685,0.0,6
8.3,0.655,0.12,5
6.9,0.605,0.12,6
5.2,0.32,0.25,5
7.8,0.645,0.0,6
7.8,0.6,0.14,6
8.1,0.38,0.28,7
5.7,1.064999625281119,0.09,4
7.3,0.45,0.36,5
7.3,0.45,0.36,5
8.8,0.61,0.3,4
7.5,0.49,0.2,6
8.1,0.66,0.22,5
6.8,0.67,0.02,5
4.6,0.52,0.15,4
7.7,0.935,0.43,5
8.7,0.29,0.52,5
6.4,0.4,0.23,5
5.6,0.31,0.37,5
8.8,0.66,0.26,5
6.6,0.52,0.04,6
6.6,0.5,0.04,6
8.6,0.38,0.36,5
7.6,0.51,0.15,6
7.7,0.62,0.04,5
10.2,0.42,0.57,5
7.5,0.63,0.12,5
7.8,0.59,0.18,5
7.3,0.39,0.31,6
8.8,0.4,0.4,5
7.7,0.69,0.49,5
7.5,0.52,0.16,7
7.0,0.735,0.05,5
7.2,0.725,0.05,5
7.2,0.725,0.05,5
7.5,0.52,0.11,5
6.6,0.705,0.07,5
9.3,0.32,0.57,5
8.0,0.705,0.05,6
7.7,0.63,0.08,6
7.7,0.67,0.23,5
7.7,0.69,0.22,5
8.3,0.675,0.26,4
9.7,0.32,0.54,5
8.8,0.41,0.64,5
8.8,0.41,0.64,5
6.8,0.785,0.0,6
6.7,0.75,0.12,5
8.3,0.625,0.2,4
6.2,0.45,0.2,5
7.8,0.43,0.7,5
7.4,0.5,0.47,5
7.3,0.67,0.26,5
6.3,0.3,0.48,6
6.9,0.55,0.15,5
8.6,0.49,0.28,6
7.7,0.49,0.26,5
9.3,0.39,0.44,5
7.0,0.62,0.08,5
7.9,0.52,0.26,5
8.6,0.49,0.28,6
8.6,0.49,0.29,5
7.7,0.49,0.26,5
5.0,1.02,0.04,4
4.7,0.6,0.17,6
6.8,0.775,0.0,5
7.0,0.5,0.25,5
7.6,0.9,0.06,5
8.1,0.545,0.18,6
8.3,0.61,0.3,6
7.8,0.5,0.3,6
8.1,0.545,0.18,6
8.1,0.575,0.22,5
7.2,0.49,0.24,5
8.1,0.575,0.22,5
7.8,0.41,0.68,5
6.2,0.63,0.31,5
8.0,0.33,0.53,6
8.1,0.785,0.52,5
7.8,0.56,0.19,5
8.4,0.62,0.09,5
8.4,0.6,0.1,5
10.1,0.31,0.44,6
7.8,0.56,0.19,5
9.4,0.4,0.31,6
8.3,0.54,0.28,6
7.8,0.56,0.12,6
8.8,0.55,0.04,6
7.0,0.69,0.08,6
7.3,1.064999625281119,0.09,5
8.8,0.55,0.04,6
7.3,0.695,0.0,5
8.0,0.71,0.0,5
7.8,0.5,0.17,5
9.0,0.62,0.04,5
8.2,1.064999625281119,0.0,5
8.1,1.064999625281119,0.0,5
8.0,0.59,0.16,7
6.1,0.38,0.15,5
8.0,0.745,0.56,5
5.6,0.5,0.09,5
5.6,0.5,0.09,5
6.6,0.5,0.01,6
7.9,1.04,0.05,6
8.4,0.745,0.11,5
8.3,0.715,0.15,5
7.2,0.415,0.36,5
7.8,0.56,0.19,5
7.8,0.56,0.19,5
8.4,0.745,0.11,5
8.3,0.715,0.15,5
5.2,0.34,0.0,6
6.3,0.39,0.08,5
5.2,0.34,0.0,6
8.1,0.67,0.55,5
5.8,0.68,0.02,5
7.6,0.49,0.26,5
6.9,0.49,0.1,6
8.2,0.4,0.44,6
7.3,0.33,0.47,6
9.2,0.52,0.9149999999999999,4
7.5,0.6,0.03,5
7.5,0.6,0.03,5
7.1,0.43,0.42,5
7.1,0.43,0.42,5
7.1,0.43,0.42,5
7.1,0.43,0.42,5
7.1,0.68,0.0,5
6.8,0.6,0.18,6
7.6,0.95,0.03,5
7.6,0.68,0.02,4
7.8,0.53,0.04,6
7.4,0.6,0.26,5
7.3,0.59,0.26,5
7.8,0.63,0.48,5
6.8,0.64,0.1,5
7.3,0.55,0.03,4
6.8,0.63,0.07,6
7.5,0.705,0.24,5
7.9,0.885,0.03,4
8.0,0.42,0.17,6
8.0,0.42,0.17,6
7.4,0.62,0.05,6
7.3,0.38,0.21,5
6.9,0.5,0.04,5
7.3,0.38,0.21,5
7.5,0.52,0.42,6
7.0,0.805,0.0,5
8.8,0.61,0.14,5
8.8,0.61,0.14,5
8.9,0.61,0.49,5
7.2,0.73,0.02,5
6.8,0.61,0.2,5
6.7,0.62,0.21,6
8.9,0.31,0.57,5
7.4,0.39,0.48,5
7.7,0.705,0.1,5
7.9,0.5,0.33,5
7.9,0.49,0.32,5
8.2,0.5,0.35,5
6.4,0.37,0.25,6
6.8,0.63,0.12,5
7.6,0.55,0.21,5
7.6,0.55,0.21,5
7.8,0.59,0.33,5
7.3,0.58,0.3,5
11.5,0.3,0.6,6
5.4,0.835,0.08,7
6.9,1.064999625281119,0.06,4
9.6,0.32,0.47,7
8.8,0.37,0.48,5
6.8,0.5,0.11,5
7.0,0.42,0.35,5
7.0,0.43,0.36,6
12.349999999999998,0.3,0.74,7
12.349999999999998,0.3,0.74,7
7.8,0.57,0.31,5
7.8,0.44,0.28,5
11.0,0.3,0.58,7
9.7,0.53,0.6,6
8.0,0.725,0.24,6
11.6,0.44,0.64,6
8.2,0.57,0.26,5
7.8,0.735,0.08,6
7.0,0.49,0.49,5
8.7,0.625,0.16,5
8.1,0.725,0.22,5
7.5,0.49,0.19,5
7.8,0.53,0.33,5
7.8,0.34,0.37,6
7.4,0.53,0.26,5
6.8,0.61,0.04,5
8.6,0.645,0.25,6
8.4,0.635,0.36,4
7.7,0.43,0.25,6
8.9,0.59,0.5,6
9.0,0.82,0.14,5
7.7,0.43,0.25,6
6.9,0.52,0.25,5
5.2,0.48,0.04,7
8.0,0.38,0.06,6
