fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,alcohol,quality
7.4,0.7,0,1.9,0.076,9.4,5
7.8,0.88,0,2.6,0.098,9.8,5
7.8,0.76,0.04,2.3,0.092,9.8,5
11.2,0.28,0.56,1.9,0.075,9.8,6
7.4,0.7,0,1.9,0.076,9.4,5
7.4,0.66,0,1.8,0.075,9.4,5
7.9,0.6,0.06,1.6,0.069,9.4,5
7.3,0.65,0,1.2,0.065,10,7
7.8,0.58,0.02,2,0.073,9.5,7
7.5,0.5,0.36,6.1,0.071,10.5,5
6.7,0.58,0.08,1.8,0.097,9.2,5
7.5,0.5,0.36,6.1,0.071,10.5,5
5.6,0.615,0,1.6,0.089,9.9,5
7.8,0.61,0.29,1.6,0.114,9.1,5
8.9,0.62,0.18,3.8,0.176,9.2,5
8.9,0.62,0.19,3.9,0.17,9.2,5
8.5,0.28,0.56,1.8,0.092,10.5,7
8.1,0.56,0.28,1.7,0.368,9.3,5
7.4,0.59,0.08,4.4,0.086,9,4
7.9,0.32,0.51,1.8,0.341,9.2,6
8.9,0.22,0.48,1.8,0.077,9.4,6
7.6,0.39,0.31,2.3,0.082,9.7,5
7.9,0.43,0.21,1.6,0.106,9.5,5
8.5,0.49,0.11,2.3,0.084,9.4,5
6.9,0.4,0.14,2.4,0.085,9.7,6
6.3,0.39,0.16,1.4,0.08,9.3,5
7.6,0.41,0.24,1.8,0.08,9.5,5
7.9,0.43,0.21,1.6,0.106,9.5,5
7.1,0.71,0,1.9,0.08,9.4,5
7.8,0.645,0,2,0.082,9.8,6
6.7,0.675,0.07,2.4,0.089,10.1,5
6.9,0.685,0,2.5,0.105,10.6,6
8.3,0.655,0.12,2.3,0.083,9.8,5
6.9,0.605,0.12,10.7,0.073,9.4,6
5.2,0.32,0.25,1.8,0.103,9.2,5
7.8,0.645,0,5.5,0.086,9.6,6
7.8,0.6,0.14,2.4,0.086,10.8,6
8.1,0.38,0.28,2.1,0.066,9.7,7
